time,module,kind,amount
22.06.16-16:17:47.880, 41c82c24,dust,79
22.06.16-16:17:48.313, 41c8217b,dust,253
22.06.16-16:17:48.792, 41c82c24,dust,72
22.06.16-16:17:49.148, 41c8217b,dust,253
22.06.16-16:17:49.628, 41c82c24,dust,72
22.06.16-16:17:50.055, 41c8217b,dust,255
22.06.16-16:17:50.533, 41c82c24,dust,62
22.06.16-16:17:50.888, 41c8217b,dust,255
22.06.16-16:17:51.448, 41c82c24,dust,57
22.06.16-16:17:51.799, 41c8217b,dust,254
22.06.16-16:17:52.367, 41c82c24,dust,65
22.06.16-16:17:52.632, 41c8217b,dust,254
22.06.16-16:17:53.273, 41c82c24,dust,63
22.06.16-16:17:53.547, 41c8217b,dust,253
22.06.16-16:17:54.178, 41c82c24,dust,61
22.06.16-16:17:54.375, 41c8217b,dust,253
22.06.16-16:17:55.094, 41c82c24,dust,56
22.06.16-16:17:55.284, 41c8217b,dust,1
22.06.16-16:17:56.000, 41c82c24,dust,51
22.06.16-16:17:56.195, 41c8217b,dust,255
22.06.16-16:17:56.912, 41c82c24,dust,43
22.06.16-16:17:57.103, 41c8217b,dust,2
22.06.16-16:17:57.824, 41c82c24,dust,37
22.06.16-16:17:58.014, 41c8217b,dust,5
22.06.16-16:17:58.734, 41c82c24,dust,34
22.06.16-16:17:58.924, 41c8217b,dust,7
22.06.16-16:17:59.814, 41c82c24,dust,29
22.06.16-16:17:59.834, 41c8217b,dust,8
22.06.16-16:18:00.560, 41c82c24,dust,31
22.06.16-16:18:00.742, 41c8217b,dust,8
22.06.16-16:18:01.469, 41c82c24,dust,40
22.06.16-16:18:01.653, 41c8217b,dust,9
22.06.16-16:18:02.301, 41c82c24,dust,40
22.06.16-16:18:02.561, 41c8217b,dust,11
22.06.16-16:18:03.213, 41c82c24,dust,41
22.06.16-16:18:03.474, 41c8217b,dust,11
22.06.16-16:18:04.046, 41c82c24,dust,34
22.06.16-16:18:04.379, 41c8217b,dust,8
22.06.16-16:18:04.959, 41c82c24,dust,29
22.06.16-16:18:05.290, 41c8217b,dust,8
22.06.16-16:18:05.792, 41c82c24,dust,29
22.06.16-16:18:06.199, 41c8217b,dust,8
22.06.16-16:18:06.706, 41c82c24,dust,26
22.06.16-16:18:07.032, 41c8217b,dust,8
22.06.16-16:18:07.612, 41c82c24,dust,22
22.06.16-16:18:07.944, 41c8217b,dust,6
22.06.16-16:18:08.524, 41c82c24,dust,22
22.06.16-16:18:08.778, 41c8217b,dust,6
22.06.16-16:18:09.436, 41c82c24,dust,26
22.06.16-16:18:09.684, 41c8217b,dust,7
22.06.16-16:18:10.347, 41c82c24,dust,28
22.06.16-16:18:10.520, 41c8217b,dust,7
22.06.16-16:18:11.260, 41c82c24,dust,31
22.06.16-16:18:11.428, 41c8217b,dust,7
22.06.16-16:18:12.172, 41c82c24,dust,29
22.06.16-16:18:12.261, 41c8217b,dust,7
22.06.16-16:18:13.084, 41c82c24,dust,28
22.06.16-16:18:13.171, 41c8217b,dust,7
22.06.16-16:18:13.993, 41c82c24,dust,27
22.06.16-16:18:14.013, 41c8217b,dust,7
22.06.16-16:18:14.904, 41c82c24,dust,25
22.06.16-16:18:14.924, 41c8217b,dust,10
22.06.16-16:18:15.814, 41c82c24,dust,20
22.06.16-16:18:15.834, 41c8217b,dust,11
22.06.16-16:18:16.727, 41c82c24,dust,22
22.06.16-16:18:16.747, 41c8217b,dust,13
22.06.16-16:18:17.637, 41c82c24,dust,24
22.06.16-16:18:17.657, 41c8217b,dust,7
22.06.16-16:18:18.473, 41c82c24,dust,24
22.06.16-16:18:18.552, 41c8217b,dust,10
